iteration,global_ari,average_ari,loss,true_loss
0,0.5467081977706606,0.7311658474984629,-11280.137858279846,-11231.808830206552
1,0.6328997026233792,0.7603215772770979,-11296.53249585069,-11290.2353503145
2,0.9291442028568664,0.9296075652143092,-11483.021644938639,-11506.838496510527
3,0.03764676886844676,0.16876268746856676,-11550.21078706038,-11345.616796299195
4,0.8833641283285453,0.8848264772068923,-11270.50574585159,-11302.18316150153
5,0.005300804843876764,0.002075640423439016,-10985.304517212904,-10877.202446465548
6,0.488977909152464,0.7284811873040257,-11169.948295032147,-11126.27711673985
7,0.9291543041741744,0.9292894766479612,-11128.41206922064,-11158.240635022208
8,0.06696442424750493,0.17218165483042283,-11291.375364120098,-11099.438229028518
9,0.9446733085256775,0.9446196932408041,-11249.310054452,-11282.234734599544
10,0.9368977891035916,0.9376130281052909,-11089.238415029238,-11109.97145267735
11,0.9291543655029207,0.9297736877925246,-10821.95398517705,-10855.009497567185
12,0.936897594475247,0.9371292951290593,-10988.080228624622,-11013.013650103168
13,0.6585464801051422,0.78044304579265,-11078.104428778572,-11044.688064837863
14,0.9291543041741744,0.9292912466066904,-11234.77452148967,-11272.630714460178
15,0.37821352358444194,0.8373302112174814,-11424.937536228184,-11379.809076492535
16,0.9446734234268186,0.9456184418027689,-11253.664127019703,-11277.390685323497
17,0.9760961377037042,0.9759964884296097,-10973.991804947174,-10990.515521132842
18,0.3635434951387375,0.7887148234589674,-11254.343973076755,-11229.264400903518
19,0.5890249280988601,0.7290313068361701,-11189.940349464207,-11148.981464588333
20,0.9137635173901196,0.9140832463233968,-11155.693189686548,-11180.596596344172
21,0.58883637938024,0.7504308154002158,-11250.723475105513,-11248.59547611485
22,0.9214426004875488,0.9209287121149451,-11049.634567848834,-11086.617957576182
23,0.9524808956156886,0.9526352100050589,-11056.077673891112,-11091.000831647678
24,0.9137636548136063,0.9137717081430298,-10853.426809968105,-10888.313372695342
25,0.36352993418727514,0.9010091688897987,-11049.030492457945,-11017.010330462863
26,0.9524809210812679,0.9526447772304938,-11231.758218865216,-11253.205971344172
27,0.5828600204236454,0.7965379659042215,-11437.721588607075,-11381.101212346859
28,0.5767252643332025,0.7219146687262257,-11552.237886203007,-11530.046689037514
29,0.4289646729666215,0.8000296324488414,-11048.055094211295,-11025.799598201182
30,0.9603194842709415,0.9599978056701757,-11180.71756673747,-11194.550431096859
31,0.5349084677026762,0.7524163333707294,-11131.102462852672,-11091.093687180504
32,0.944673063705021,0.9446387026155426,-10960.88552617444,-10984.846473201182
33,0.9214417611804818,0.9216028096907112,-11235.013847300976,-11260.433407787514
34,0.9446733310508894,0.9446421939414467,-11371.932008424606,-11392.761532787514
35,0.968191341028667,0.9681593473659609,-11271.858102641147,-11289.108458760997
36,0.9446731604048887,0.9443209008582741,-11178.495099403055,-11200.480323835178
37,0.9681923665792226,0.968320385327009,-11201.66461445552,-11214.76149173985
38,0.9214426140763939,0.9212867907403716,-11254.208624342991,-11280.209631308191
39,0.9214379584608567,0.921591513200179,-10966.620037816794,-11003.702733799195
40,0.9446610199953188,0.9446173447900825,-11467.454425998725,-11494.54111699616
41,0.9681825115148831,0.9681267475433263,-11326.587893771466,-11347.452815894521
42,0.9446733196745221,0.9444796247934606,-11071.113730599394,-11088.959857070342
43,0.9137632056588321,0.9139337518228021,-11068.770537944514,-11098.715860112165
44,0.6717591349889014,0.7523091318891569,-11143.452665987516,-11118.354244653518
45,0.9291542517314568,0.9286432231355439,-11091.57333152059,-11115.866066022678
46,0.6076306503568575,0.7374544367931763,-11232.546420581572,-11186.397984727699
47,0.5174423611744878,0.7571779432407513,-11188.877564952012,-11157.095394019521
48,0.960320507679542,0.960306840746511,-11080.777050076604,-11099.320918385527
49,0.8683602137826975,0.8706304222923448,-11123.092126798778,-11147.754573707021
50,0.9214427761527915,0.9235521711581123,-11135.147824177171,-11161.68987429604
51,0.9524807831026916,0.9524819058861691,-11176.850626282165,-11191.050636335178
52,0.9446732505061082,0.9451285247846608,-11124.618573685346,-11143.110145076182
53,0.8833667203965645,0.883545924623229,-11221.456418876665,-11253.581865811346
54,0.6392849046545613,0.7529671247329207,-11383.219794225406,-11344.415542328867
55,0.9214398261647874,0.9216130522588901,-11382.915217881784,-11412.351068680035
56,0.6076078643855685,0.7362101341970987,-11162.189248717474,-11120.939812724544
57,0.9603204832025548,0.9603199464905721,-11163.361852870004,-11180.65797611485
58,0.9137634849403808,0.9139357207512713,-11250.43586772707,-11284.048231685876
59,0.9291543832751267,0.9292906561800287,-11202.51121405753,-11230.067217373846
60,0.960320569116647,0.9603209670298476,-11162.569645024305,-11178.484209561346
61,0.6324210072298968,0.7138568574079837,-11181.499886704712,-11155.919735912514
62,0.9681903407835813,0.9684808159668682,-11345.521909134104,-11366.229511463333
63,0.9137632499893574,0.9140986387303538,-11199.08515132088,-11228.01128650153
64,0.04708277547009064,0.14725873987121002,-11456.378100491118,-11297.64409900153
65,0.48897910072538714,0.7912050172318097,-11094.770661576935,-11090.972388192185
66,0.9291502021908267,0.9291174909370383,-11139.69089473779,-11171.571997567185
67,0.5767093953190865,0.7446252394865208,-11426.404070517983,-11380.606784388212
68,0.9446722034026118,0.945124984031677,-11282.51757785714,-11302.30055423985
69,0.9446733541449006,0.9446433623199184,-11103.39663633437,-11126.938023790199
70,0.9137635455841352,0.9136146698549611,-11404.863144972096,-11433.091775103168
71,0.9446707940051707,0.944582246684106,-11007.40065931038,-11031.76442142735
72,0.8985010094129969,0.8979298330697919,-11016.131547091083,-11042.567947650363
73,0.8909176834578761,0.8918751532525888,-11274.340387738172,-11303.076109055504
74,0.9291542212855101,0.9290948504594871,-11219.59916660444,-11262.661172612165
75,0.8984938950332846,0.8987310722462825,-11007.770861960928,-11039.099361841018
76,0.906116223753757,0.9067437231673011,-11070.584070280473,-11094.308448835178
77,0.9214379584608567,0.9209661208204318,-11210.61254717279,-11233.008623623846
78,0.9137594882934749,0.9140652796277747,-11101.084113632192,-11137.123529617535
79,0.9137634276656456,0.9145856788277331,-11320.31818932058,-11353.179542585178
80,0.9760953167449541,0.9761618721313594,-11329.417277179955,-11343.04741931403
81,0.913763085966186,0.9147453050953225,-11213.995516724413,-11238.079182409829
82,0.9446724524402711,0.9451295145292231,-11137.031017903308,-11159.609980885527
83,0.5828547650232409,0.7446577089846341,-11337.632436124613,-11263.604244653518
84,0.9368977075382423,0.9371260657489021,-11113.07153711392,-11130.952815894521
85,0.9524808303943679,0.952642787795647,-11105.625273890259,-11126.658850058191
86,0.9446733085256775,0.9451292516044927,-11125.193669566625,-11149.720558210178
87,0.5174570272176271,0.7384902588024711,-11208.456382062403,-11167.822974129685
88,0.9214424092538381,0.921124160393884,-11254.532713076593,-11273.743954662514
89,0.8609058856634724,0.861644519379577,-11115.192832390645,-11150.371617540199
90,0.9524809382781522,0.952643817179708,-11255.646294932476,-11272.879573707021
91,0.6457223393920053,0.7839989028908529,-11130.189409962275,-11084.339780930504
92,0.9137632854537449,0.9152316649596133,-11034.134225282978,-11063.415993853168
93,0.9291543100011382,0.9289668011508706,-11127.108788344201,-11154.634579662514
94,0.9291543137886643,0.9289538718000039,-11354.477229504304,-11383.230180168353
95,0.034730514477578335,0.08971595498543661,-11368.708175170166,-11196.908685867535
96,0.523247349092223,0.7271850829135569,-11352.933940835901,-11275.81335217151
97,0.06162819899716971,0.8573741911954013,-11207.661136892993,-11156.24391361485
98,0.9214427761527915,0.9216121053571843,-11152.05774848788,-11182.205909772678
99,0.6263834353230214,0.738076193842846,-11211.678095190022,-11179.296791656672
